rank,node_hash,name,protocol,server,source_count,passive_score,final_score,latency_ms
159,04e60ece9d5fdc777af9d37964f8c75e3faaa4406d8c1c7c50c9b16913ca38e6,新加坡04|流媒体,vless,sg004.421421.xyz,1,21.9,14.235,
160,d83819cc88b388f7ac116eb2b2f995f2cb41526349101441539f1981004369e5,新加坡03|流媒体,vless,sg003.421421.xyz,1,21.9,14.235,
161,ec87f30bc451b4bfc99501a361bb513826ca2fa874e62d839b8434b0c64af1f4,新加坡02|流媒体,vless,sg002.421421.xyz,1,21.9,14.235,
162,3f05c17b96e2994518adc9020030417e5b91d2d4ee979289ca2c67f13989fcdb,新加坡01|流媒体,vless,sg001.421421.xyz,1,21.9,14.235,
163,eb4b1ccfdc00b7e296bf6f0a92c0f63ccb87bf62981c41b44da143be77bc7431,warp.irss.eu.org 6 #1,vless,www.csgo.com,1,21.9,14.235,
164,f7c19d068bbbe9d6241fc5eabf0685d5030540318257b1fd62a9644e8589ce33,🏁RELAY-104.21.91.112-3814,vmess,sg80-2.sanfen001.pics,2,21.7,14.105,
165,24aee4234f69b953facf5eac14d1cab528e8783f67faf3fc7cdc82c6f90eee67,🇺🇸 VMESS-美国>德国-NF解锁印度地区非自制剧-Ch...,vmess,support.zoom.us,3,21.6,14.04,
166,5b7c8f42d9f78391b3ba9c9baf8c625cf0a0f9885f658538973408acbe660bec,ID17｜家宽｜非常安全,vmess,83.229.121.113,4,21.5,13.975,
167,bed1c00d5fbee345dbf7092c4c4529060e9dccf1a03b8458822ceeae42ff1a8c,🏁RELAY-104.21.5.27-3489,trojan,tw01.henet.top,2,21.5,13.975,
168,0a9bf0c6fcdf67b04342549fd1bd49c51c991bf799951cc4dd8a4b78d0b913c0,🇭🇰 No.397_SG_x1.50_皖港->GR_新加坡[...,vmess,91.200.242.187,1,21.5,13.975,
169,d59be8ea6ddbad57c94cfa4ce946fd48e8b0b0d3d498eb1b6018dbff0ef69752,香港NO.1（GPT奈飞等）,vmess,haa.dashuai.cyou,1,21.5,13.975,
170,efcca4e98025b9f4e11dad735afcf508b2a60282b2a22b4f382dc0ad01eae9c0,🏁RELAY-172.67.215.250-3922,trojan,kr2.sanfen001.pics,2,21.3,13.845,
171,4414d6122c6a767e5a5db65fc356254590d6d4a16e4d6e0ca2b60ebb80e301d8,🏁RELAY-172.67.204.84-1734,trojan,172.67.204.84,2,21.3,13.845,
172,a461063af4c8a5a03dd1391c1d1ee663ae746f1cd91267ef258f4f88f78e3ee6,🏁RELAY-172.67.172.137-1413,trojan,zi.you.usdtvfk.top,2,21.3,13.845,
173,ff588ea5576510fc14dcdfee59d53fd4773434c5413259c30e17ef9df683c67c,🏁RELAY-172.64.53.190-1658,trojan,172.64.53.190,2,21.3,13.845,
174,bc241ea51398802aad958e77bff7fa8ec4c0b8637f09ade17fd3e01697a14bb5,🏁RELAY-104.21.80.1-4574,trojan,104.21.80.1,2,21.3,13.845,
175,3d7f0585092a444cfc3a31cdb13923bd3c2c4dd64f98519769b0b9de8dbdb89c,🏁RELAY-104.21.44.185-4573,trojan,104.21.44.185,2,21.3,13.845,
176,039c77e755464cd34b98a8dacb637b3b86d1566db962e07ca17d0c714065efe8,🏁RELAY-104.21.30.167-4576,trojan,104.21.30.167,2,21.3,13.845,
177,d804168dcb69354c0af2948e9e49949bff64a7fbf4da4d82e7a9b5301d0e6e50,🏁RELAY-104.21.24.68-4329,trojan,s1.hazz.win,2,21.3,13.845,
178,f2b661a394405fe10710a553b98731b0f5aec1a4ec80a08d54663df0de08f978,🏁RELAY-104.21.112.1-4575,trojan,104.21.112.1,2,21.3,13.845,
179,489751af61e5d3a263e15b40c50f611d0b723698505743601be40e255ada6039,🏁RELAY-104.18.41.190-1663,trojan,cf.877774.xyz,2,21.3,13.845,
180,fe43d956457a644293ce8022e7d1262b6092c0e685c6f6974da15bced94c41cf,🇹🇼 台湾 2,vless,qrzv.youxuan.wiki,1,21.3,13.845,
181,8ac0826d183e3ca0ff1eb985245a4d6592daa68edf26cbedd68ede0cbb5a6894,yandex-1785,trojan,bgp.fengchiyx.xyz,1,21.2,13.78,
182,e7079c2a7af97d91e6a77609a78120fdbcb22622821a51bf8687aa7d6bcc4e21,🏁RELAY-104.21.8.116-4180,vmess,tw.xlkjjs.top,2,21.1,13.715,
183,8bec29cb1c661cc807ef339e638bd5cd8fe3b4609d1fd52f2525d202894cc3de,🏁RELAY-104.21.5.27-4187,vmess,tw01.henet.top,2,21.1,13.715,
184,01e0c4d3f105aeb5b94720f306ca6c998d9d608e9443bd5764b6f9fd74309d82,🏁RELAY-104.21.5.27-4172,vmess,tw02.henet.top,2,21.1,13.715,
185,2b3b72271f89d346172954648584259fb54a96e84dfe1f3426c623292be07ba3,CloudFlare 5,vmess,104.21.82.183,3,20.8,13.52,
186,6ccc9a0896c39ba7cfdafe86d9e6d9eacc7642dbf00b62f27c143468ec19c8e8,CloudFlare #1,vmess,104.21.15.36,3,20.8,13.52,
187,61ce1bc612ab42134693d13b871909132d4fb5d178989d56d8c5e395a734223b,CloudFlare,vmess,188.114.99.205,3,20.8,13.52,
188,989bd93a19551eba35f38ec1bb6f5b89304c3d710f0ac7f9bc21b25e6284bdf5,🇭🇰 IEPL专线 香港 NO1,vmess,i.needss.top,1,20.8,13.52,
189,5844dba02082ba48d670ce0b24157ca16a5b1eb2163be14b40aaff01a3bf780c,台湾2(GPT等流媒体1.5倍）,vmess,xdd.dashuai.cyou,1,20.7,13.455,
190,7f4038be45a6b2a73ed7115a629b1cbb92c05472a5f54bb46b1d5de4d21a913c,台湾1(GPT等流媒体1.5倍）,vmess,haa.dashuai.cyou,1,20.7,13.455,
191,6013acd2f86412c3bd81131155c1bbbd88e9c8f233181f8493154c850fac6d10,新加坡-优化2-Gemini-GPT #2,vmess,m.cnmjin.net,3,20.6,13.39,
192,fddbc1821435a8fb8d84510cdd5b3ae25efd43e7da83eb4de1e414b23b7eb796,新加坡-优化-Gemini-GPT #2,vmess,planb.mojcn.com,3,20.6,13.39,
193,cc10409b950cd7a06337c3de8f1c1e4e5076bd0442569e64e6985ab704847cf9,美国3|@ripaojiedian #1,trojan,95.40.28.8,8,20.5,13.325,
194,6ca4de2887dc4375853594f553c384bdc3c4b5b9184ea126d4b85d0474133e3d,4 NETFLIX,trojan,cdnfire.xiaomispeed.com,1,20.5,13.325,
195,94a1399475a958bc6ba9993050122dc87c6e3d5707d7f38a1d9624d457e719d8,3 NETFLIX #1,trojan,cdnfire.xiaomispeed.com,1,20.5,13.325,
196,dc08892e0e34bbe71a6c611e6c23bafe0a66bbfeecda0c13834773b91a5edbaa,3 NETFLIX,trojan,cdnfire.xiaomispeed.com,1,20.5,13.325,
197,15becd3852cbd0faaa675a3ee857e4499eb44f1e09e0a2b08e52cf2c21caacaf,2 NETFLIX #2,trojan,cdnfire.xiaomispeed.com,1,20.5,13.325,
198,4a2c07389c25a6b0b02a572f3f2944fbf83e6919519dd1ada65d1254bdb21860,2 NETFLIX #1,trojan,cdnfire.xiaomispeed.com,1,20.5,13.325,
199,ee624ccf8c06d6f6b7f6baa8412542956faf3696ab95dab60b10fe75ffa620d2,2 NETFLIX,trojan,cdnfire.xiaomispeed.com,1,20.5,13.325,
200,15a5814357cf8d410aeab5218d75301a4f6348b1ce58aeba54bbaaf4bbafa3bd,1 NETFLIX #4,trojan,cdnfire.xiaomispeed.com,1,20.5,13.325,
